obsnam;S1;L1;P1;S2;L2;P2;S3;L3;P3;S4;L4;P4;S5;L5;P5;log_RAI;n
VESSK;-2.6931;-2.5271;-1.2871;3.0777;0.3891;-0.0701;1.9607;-1.6324;0.5746;1.9607;-1.6324;0.5746;2.8369;1.4092;-3.1398;0;1
VESAK;-2.6931;-2.5271;-1.2871;3.0777;0.3891;-0.0701;1.9607;-1.6324;0.5746;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;0.28;2
VEASK;-2.6931;-2.5271;-1.2871;3.0777;0.3891;-0.0701;0.0744;-1.7333;0.0902;1.9607;-1.6324;0.5746;2.8369;1.4092;-3.1398;0.2;3
VEAAK;-2.6931;-2.5271;-1.2871;3.0777;0.3891;-0.0701;0.0744;-1.7333;0.0902;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;0.51;4
VKAAK;-2.6931;-2.5271;-1.2871;2.8369;1.4092;-3.1398;0.0744;-1.7333;0.0902;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;0.11;5
VEWAK;-2.6931;-2.5271;-1.2871;3.0777;0.3891;-0.0701;-4.7548;3.6521;0.8524;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;2.73;6
VEAAP;-2.6931;-2.5271;-1.2871;3.0777;0.3891;-0.0701;0.0744;-1.7333;0.0902;0.0744;-1.7333;0.0902;-1.2201;0.8829;2.2253;0.18;7
VEHAK;-2.6931;-2.5271;-1.2871;3.0777;0.3891;-0.0701;2.4064;1.7438;1.1057;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;1.53;8
VAAAK;-2.6931;-2.5271;-1.2871;0.0744;-1.7333;0.0902;0.0744;-1.7333;0.0902;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;-0.1;9
GEAAK;2.2261;-5.3648;0.3049;3.0777;0.3891;-0.0701;0.0744;-1.7333;0.0902;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;-0.52;10
LEAAK;-4.1921;-1.0285;-0.9801;3.0777;0.3891;-0.0701;0.0744;-1.7333;0.0902;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;0.4;11
FEAAK;-4.9217;1.2977;0.4473;3.0777;0.3891;-0.0701;0.0744;-1.7333;0.0902;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;0.3;12
VEGGK;-2.6931;-2.5271;-1.2871;3.0777;0.3891;-0.0701;2.2261;-5.3648;0.3049;2.2261;-5.3648;0.3049;2.8369;1.4092;-3.1398;-1;13
VEFAK;-2.6931;-2.5271;-1.2871;3.0777;0.3891;-0.0701;-4.9217;1.2977;0.4473;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;1.57;14
VELAK;-2.6931;-2.5271;-1.2871;3.0777;0.3891;-0.0701;-4.1921;-1.0285;-0.9801;0.0744;-1.7333;0.0902;2.8369;1.4092;-3.1398;0.59;15
